test_start,test_end,sharpe_ratio,return_pct,trades_closed
2020-03-08,2020-04-08,2.289776880435997,19.544055927207047,1
2020-04-08,2020-05-08,6.98465152054514,40.811338165578384,0
2020-05-08,2020-06-08,-4.436666755832551,-11.201716494230418,1
2020-06-08,2020-07-08,0.4170200155973741,0.42899853738278537,0
2020-07-08,2020-08-08,4.86568790713009,22.58751934554837,1
2020-08-08,2020-09-08,-2.1039772298022523,-6.168896956290526,1
2020-09-08,2020-10-08,-1.6765742181906498,-5.2780916824350825,0
2020-10-08,2020-11-08,6.909582175452515,34.77600440504525,1
2020-11-08,2020-12-08,2.791654110877917,10.954773162978082,1
2020-12-08,2021-01-08,13.342850202512102,114.8623207340139,0
2021-01-08,2021-02-08,-1.0147398049962841,-5.1064385389271045,1
2021-02-08,2021-03-08,1.3470801599407403,5.258391141111796,1
2021-03-08,2021-04-08,-2.5319544051920415,-11.143424773737298,1
2021-04-08,2021-05-08,-2.848441547195882,-11.034329090231843,1
2021-05-08,2021-06-08,7.080230497011643,53.70738401599699,0
2021-06-08,2021-07-08,0.05640350221448596,-0.6498314586519616,0
2021-07-08,2021-08-08,4.651064841770596,18.524254240889636,1
2021-08-08,2021-09-08,1.5203973207002706,7.055736347914654,1
2021-09-08,2021-10-08,-2.5773275293733153,-12.043866447423257,1
2021-10-08,2021-11-08,0.0,0.0,0
2021-11-08,2021-12-08,-1.3155437663525402,-6.023683753264852,1
2021-12-08,2022-01-08,3.9076823786783703,15.675518407862965,0
2022-01-08,2022-02-08,0.207986491863379,0.08758506403310218,1
2022-02-08,2022-03-08,-1.3919193432096597,-6.75488563644554,1
2022-03-08,2022-04-08,1.7485904768362142,4.867856473662968,1
2022-04-08,2022-05-08,5.108441198220191,2.935463434455632,0
2022-05-08,2022-06-08,1.7687128617288566,7.4935636062277045,0
2022-06-08,2022-07-08,5.50431802529502,20.079873442322093,0
2022-07-08,2022-08-08,-0.5260436914094543,-2.6546496091588767,1
2022-08-08,2022-09-08,-1.990643917966745,-8.623689698993287,1
2022-09-08,2022-10-08,-1.5923695711419066,-6.954774765631311,1
2022-10-08,2022-11-08,-1.6105224632961865,-4.189955266945633,1
2022-11-08,2022-12-08,-3.3188880594114694,-7.133367153383896,1
2022-12-08,2023-01-08,-4.256328786019075,-5.607344769716994,2
2023-01-08,2023-02-08,8.078335251500379,37.40909415950495,0
2023-02-08,2023-03-08,-4.706685518682449,-13.538649044369222,2
2023-03-08,2023-04-08,3.848047569873769,16.282847315176664,0
2023-04-08,2023-05-08,0.5248884985176656,1.0834153056491935,1
2023-05-08,2023-06-08,-0.7047808347525609,-2.8409754401587772,1
2023-06-08,2023-07-08,-3.017116738275846,-7.737711531377212,1
2023-07-08,2023-08-08,-3.0280746657689535,-5.973987723281937,2
2023-08-08,2023-09-08,2.729964971250137,7.359385739357571,1
2023-09-08,2023-10-08,-1.4349166364035442,-2.7410404277103617,1
2023-10-08,2023-11-08,6.796238413327113,28.02959121904287,0
2023-11-08,2023-12-08,5.2045431425598006,22.22866642985084,0
